"workbook","workbook_path","backup_path","sheet","cell","figure","factor","curve_name","x_value","old_value","new_digitized_value","action"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","F36","Figure 3","KHe","E_prime_ksi=1.0","0.075","143","149.467395","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","F37","Figure 3","KHe","E_prime_ksi=1.0","0.08","88","","skipped_no_digitized_value"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","F38","Figure 3","KHe","E_prime_ksi=1.0","5.0","88","","skipped_no_digitized_value"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","H17","Figure 3","KHe","E_prime_ksi=2.0","0.0","4443","","skipped_no_digitized_value"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","H18","Figure 3","KHe","E_prime_ksi=2.0","0.00726","4443","4063.879904","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","H19","Figure 3","KHe","E_prime_ksi=2.0","0.00775","4000","3829.759583","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","H20","Figure 3","KHe","E_prime_ksi=2.0","0.00825","3804","3645.285057","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","H21","Figure 3","KHe","E_prime_ksi=2.0","0.01","3208","3166.031095","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","H22","Figure 3","KHe","E_prime_ksi=2.0","0.0125","2777","2703.318214","updated"
"Highway","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.xlsx","C:\Users\brook\OneDrive\Documents\Projects\Coding\Work\API 1102 Loading\Refs\API 1102 Highway_260606.bak_20260606_231852.xlsx","Tables","H23","Figure 3","KHe","E_prime_ksi=2.0","0.015","2404","2391.657618","updated"
