figure,factor,curve_name,x_value,x_units,y_value,y_units,source_page,digitization_method,notes
Figure 13,NL,H_ft=6,24.103134,in,1.008059,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control
Figure 13,NL,H_ft=6,24.507,in,1.0143,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=spreadsheet_x
Figure 13,NL,H_ft=6,24.792771,in,1.018715,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,26.116404,in,1.038755,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,27.440037,in,1.0582,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,28.76367,in,1.077914,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,30.087303,in,1.09838,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,31.410936,in,1.119721,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,32.734569,in,1.140277,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,34.058202,in,1.160735,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,35.381835,in,1.181595,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,36.705468,in,1.202741,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,38.029101,in,1.223404,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,39.352734,in,1.242812,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,40.676367,in,1.266261,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=uniform_sample
Figure 13,NL,H_ft=6,42.0,in,1.29275,dimensionless,PDF page 26 / API page 20,PDF vector path extraction; piecewise labeled-tick axis calibration; no OCR,point_type=endpoint/control;spreadsheet_x;uniform_sample
